./simulation results/2016-10-2_18-21-23.txt

Comfortable Program

simTime, model.x, model.u, model.d, model.z, systemTime

0.0,[ 1.          0.33333333],[ 1.  0.  1.  0.  1.],0.0,3.0,1475450484.08
0.333333333333,[ 1.98666667  0.99555556],[ 1.  0.  1.  0.  0.],0.333333333333,3.08333333333,1475450484.14
0.666666666667,[ 2.96017778  1.64894815],[ 1.  0.  1.  0.  0.],0.666666666667,3.16555555556,1475450484.48
1.0,[ 3.92070874  2.29362884],[ 1.  0.  1.  0.  0.],1.0,3.24668148148,1475450485.05
1.33333333333,[ 4.86843262  2.92971379],[ 1.  0.  1.  0.  0.],1.33333333333,3.3267257284,1475450485.14
1.66666666667,[ 5.80352019  3.5573176 ],[ 1.  0.  1.  0.  0.],1.66666666667,3.40570271868,1475450485.48
2.0,[ 6.72613992  4.17655337],[ 1.  0.  1.  0.  0.],2.0,3.48362668243,1475450486.01
2.33333333333,[ 7.63645805  4.78753266],[ 1.  0.  1.  0.  0.],2.33333333333,3.56051166,1475450486.14
2.66666666667,[ 8.53463861  5.39036556],[ 1.  0.  1.  0.  0.],2.66666666667,3.63637150453,1475450486.48
3.0,[ 10.0875101    5.31849402],[ 1.  1.  0.  0.  0.],3.0,3.71121988447,1475450487.01
3.33333333333,[ 11.61967663   5.24758076],[ 1.  1.  0.  0.  0.],3.33333333333,3.84062584157,1475450487.14
3.66666666667,[ 13.13141428   5.17761302],[ 1.  1.  0.  0.  0.],3.66666666667,3.9683063859,1475450487.48
4.0,[ 14.62299542   5.10857818],[ 1.  1.  0.  0.  0.],4.0,4.09428452298,1475450488.02
4.33333333333,[ 15.09468881   6.37379714],[ 1.  1.  0.  1.  0.],4.33333333333,4.21858295156,1475450488.14
4.66666666667,[ 15.56009296   7.62214651],[ 1.  1.  0.  1.  0.],4.66666666667,4.25789073443,1475450488.48
5.0,[ 15.35262506   9.52051789],[ 1.  0.  1.  1.  0.],5.0,4.29667441353,1475450489.01
5.33333333333,[ 15.14792339  11.39357765],[ 1.  0.  1.  1.  0.],5.33333333333,4.27938542135,1475450489.14
5.66666666667,[ 14.94595108  13.24166328],[ 1.  0.  1.  1.  0.],5.66666666667,4.26232694906,1475450489.47
6.0,[ 14.74667173  15.06510777],[ 1.  0.  1.  1.  0.],6.0,4.24549592308,1475450490.01
6.33333333333,[ 14.55004944  16.86423967],[ 1.  0.  1.  1.  0.],6.33333333333,4.22888931077,1475450490.14
6.66666666667,[ 15.02271545  17.97271647],[ 1.  1.  0.  1.  0.],6.66666666667,4.21250411996,1475450490.48
